W - simThreshold,MAE-GSU,MAE-NON-GSU,P-Value GSU-NGSU,# GSU:
1.2,0.91771396,0.707608808,6.48E-10,46
1.3,0.880207736,0.683635433,2.84E-20,131
1.4,0.80403828,0.675441694,4.84E-13,243
1.5,0.766940528,0.666451371,6.46E-09,371
1.6,0.742126463,0.659325793,4.14E-05,508
1.7,0.726863664,0.681016177,0.105339309,600
1.8,0.722064081,0.720620283,0.975460184,647
1.9,0.721561233,0.746791233,0.701254555,659
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
